Configuration,Skill Weight,Cluster Weight,Ensemble Weight,P@1 (%),P@3 (%),P@5 (%),R@3 (%),NDCG@3 (%),NDCG@5 (%),MRR (%),Hit@1 (%),Hit@3 (%)
Config A (Skill Only Baseline),1.0,0.0,0.0,62.5,58.33,52.5,48.96,64.16,69.1,78.12,62.5,87.5
Config B (Skill + Cluster),0.8,0.2,0.0,62.5,62.5,52.5,55.21,66.15,69.38,79.17,62.5,100.0
Config C (Conservative ML),0.7,0.15,0.15,62.5,66.67,52.5,59.38,67.1,69.08,79.17,62.5,100.0
Config D (Production Setting),0.6,0.2,0.2,75.0,66.67,52.5,59.38,67.84,69.56,85.42,75.0,100.0
Config E (Balanced Weights),0.5,0.25,0.25,75.0,66.67,55.0,59.38,67.84,71.6,85.42,75.0,100.0
Config F (Aggressive ML),0.4,0.3,0.3,75.0,66.67,55.0,59.38,65.9,71.35,85.42,75.0,100.0
